,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Top5Budget,Goals,Goals_1H,Goals_2H
0,1995-96,2/9/1995,La Coruna,Valencia,3,0,H,2,0,H,False,3,2,1
1,1995-96,2/9/1995,Sp Gijon,Albacete,3,0,H,3,0,H,False,3,3,0
2,1995-96,3/9/1995,Ath Bilbao,Santander,4,0,H,2,0,H,False,4,2,2
3,1995-96,3/9/1995,Ath Madrid,Sociedad,4,1,H,1,1,D,True,5,2,3
4,1995-96,3/9/1995,Celta,Compostela,0,1,A,0,0,D,False,1,0,1
5,1995-96,3/9/1995,Espanol,Salamanca,3,1,H,2,1,H,False,4,3,1
6,1995-96,3/9/1995,Merida,Betis,1,1,D,1,1,D,False,2,2,0
7,1995-96,3/9/1995,Sevilla,Tenerife,0,1,A,0,0,D,True,1,0,1
8,1995-96,3/9/1995,Valladolid,Barcelona,0,2,A,0,0,D,False,2,0,2
9,1995-96,3/9/1995,Vallecano,Real Madrid,1,5,A,0,1,A,False,6,1,5
10,1995-96,3/9/1995,Zaragoza,Oviedo,1,0,H,1,0,H,False,1,1,0
11,1995-96,9/9/1995,Albacete,Sevilla,3,2,H,2,1,H,False,5,3,2
12,1995-96,9/9/1995,Barcelona,Merida,2,2,D,1,1,D,True,4,2,2
13,1995-96,9/9/1995,Betis,Zaragoza,3,1,H,2,0,H,False,4,2,2
14,1995-96,9/9/1995,Real Madrid,Ath Bilbao,1,2,A,0,0,D,True,3,0,3
15,1995-96,10/9/1995,Compostela,La Coruna,4,0,H,2,0,H,False,4,2,2
16,1995-96,10/9/1995,Oviedo,Vallecano,2,0,H,1,0,H,False,2,1,1
17,1995-96,10/9/1995,Salamanca,Celta,0,1,A,0,0,D,False,1,0,1
18,1995-96,10/9/1995,Santander,Ath Madrid,0,4,A,0,0,D,False,4,0,4
19,1995-96,10/9/1995,Sociedad,Sp Gijon,2,0,H,1,0,H,False,2,1,1
20,1995-96,10/9/1995,Tenerife,Espanol,1,4,A,0,2,A,False,5,2,3
21,1995-96,10/9/1995,Valencia,Valladolid,1,0,H,0,0,D,True,1,0,1
22,1995-96,16/09/1995,Ath Bilbao,Ath Madrid,0,2,A,0,1,A,False,2,1,1
23,1995-96,17/09/1995,Celta,Tenerife,2,2,D,2,2,D,False,4,4,0
24,1995-96,17/09/1995,Espanol,Albacete,1,0,H,0,0,D,False,1,0,1
25,1995-96,17/09/1995,La Coruna,Salamanca,2,0,H,1,0,H,False,2,1,1
26,1995-96,17/09/1995,Merida,Valencia,0,2,A,0,0,D,False,2,0,2
27,1995-96,17/09/1995,Real Madrid,Oviedo,2,3,A,2,2,D,True,5,4,1
28,1995-96,17/09/1995,Sevilla,Sociedad,2,1,H,1,1,D,True,3,2,1
29,1995-96,17/09/1995,Sp Gijon,Santander,4,2,H,2,1,H,False,6,3,3
30,1995-96,17/09/1995,Valladolid,Compostela,0,0,D,0,0,D,False,0,0,0
31,1995-96,17/09/1995,Vallecano,Betis,1,2,A,1,1,D,False,3,2,1
32,1995-96,17/09/1995,Zaragoza,Barcelona,0,3,A,0,0,D,False,3,0,3
33,1995-96,23/09/1995,Barcelona,Vallecano,2,0,H,1,0,H,True,2,1,1
34,1995-96,23/09/1995,Betis,Real Madrid,0,0,D,0,0,D,False,0,0,0
35,1995-96,23/09/1995,Santander,Sevilla,1,1,D,1,1,D,False,2,2,0
36,1995-96,24/09/1995,Albacete,Celta,4,0,H,0,0,D,False,4,0,4
37,1995-96,24/09/1995,Ath Madrid,Sp Gijon,2,0,H,1,0,H,True,2,1,1
38,1995-96,24/09/1995,Compostela,Merida,1,0,H,1,0,H,False,1,1,0
39,1995-96,24/09/1995,Oviedo,Ath Bilbao,0,0,D,0,0,D,False,0,0,0
40,1995-96,24/09/1995,Salamanca,Valladolid,0,0,D,0,0,D,False,0,0,0
41,1995-96,24/09/1995,Sociedad,Espanol,0,1,A,0,1,A,False,1,1,0
